;accuracy;f1score;runtime;acc_mean;acc_min;acc_max;acc_std;f1_mean;f1_min;f1_max;f1_std;clf;vect;lemma_stem
RandomForest_tfidf_lemma;[0.6216216216216216, 0.4594594594594595, 0.5405405405405406, 0.5135135135135135, 0.5135135135135135, 0.6486486486486487, 0.5405405405405406, 0.5135135135135135, 0.5675675675675675, 0.6216216216216216];[0.6216216216216216, 0.4594594594594595, 0.5405405405405406, 0.5135135135135135, 0.5135135135135135, 0.6486486486486487, 0.5405405405405406, 0.5135135135135135, 0.5675675675675675, 0.6216216216216216];0.9721953868865967;0.5540540540540541;0.4594594594594595;0.6486486486486487;0.05701357597224051;0.5540540540540541;0.4594594594594595;0.6486486486486487;0.05701357597224051;RandomForest;tfidf;lemma
RandomForest_tfidf_stem;[0.6756756756756757, 0.4594594594594595, 0.5135135135135135, 0.5945945945945946, 0.6756756756756757, 0.6756756756756757, 0.4594594594594595, 0.4864864864864865, 0.5945945945945946, 0.6756756756756757];[0.6756756756756757, 0.4594594594594595, 0.5135135135135135, 0.5945945945945946, 0.6756756756756757, 0.6756756756756757, 0.4594594594594595, 0.4864864864864865, 0.5945945945945946, 0.6756756756756757];1.9912099838256836;0.581081081081081;0.4594594594594595;0.6756756756756757;0.0890252383351384;0.581081081081081;0.4594594594594595;0.6756756756756757;0.0890252383351384;RandomForest;tfidf;stem
RandomForest_count_lemma;[0.6756756756756757, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.5945945945945946, 0.6216216216216216, 0.3783783783783784, 0.43243243243243246, 0.5405405405405406, 0.6216216216216216];[0.6756756756756757, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.5945945945945946, 0.6216216216216216, 0.37837837837837834, 0.43243243243243246, 0.5405405405405406, 0.6216216216216216];0.9801349639892578;0.5405405405405406;0.3783783783783784;0.6756756756756757;0.08715954322484917;0.5405405405405406;0.37837837837837834;0.6756756756756757;0.08715954322484917;RandomForest;count;lemma
RandomForest_count_stem;[0.5945945945945946, 0.40540540540540543, 0.5405405405405406, 0.5675675675675675, 0.6216216216216216, 0.6486486486486487, 0.43243243243243246, 0.4594594594594595, 0.5675675675675675, 0.6486486486486487];[0.5945945945945946, 0.40540540540540543, 0.5405405405405406, 0.5675675675675675, 0.6216216216216216, 0.6486486486486487, 0.43243243243243246, 0.4594594594594595, 0.5675675675675675, 0.6486486486486487];2.0090346336364746;0.5486486486486486;0.40540540540540543;0.6486486486486487;0.08378378378378379;0.5486486486486486;0.40540540540540543;0.6486486486486487;0.08378378378378379;RandomForest;count;stem
MultinomialNB_tfidf_lemma;[0.40540540540540543, 0.2972972972972973, 0.4864864864864865, 0.35135135135135137, 0.4864864864864865, 0.40540540540540543, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5135135135135135];[0.40540540540540543, 0.2972972972972973, 0.4864864864864865, 0.35135135135135137, 0.4864864864864865, 0.40540540540540543, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5135135135135135];0.5944292545318604;0.40540540540540543;0.2972972972972973;0.5135135135135135;0.06729675458372288;0.40540540540540543;0.2972972972972973;0.5135135135135135;0.06729675458372288;MultinomialNB;tfidf;lemma
MultinomialNB_tfidf_stem;[0.40540540540540543, 0.32432432432432434, 0.4864864864864865, 0.3783783783783784, 0.5135135135135135, 0.3783783783783784, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5405405405405406];[0.40540540540540543, 0.32432432432432434, 0.4864864864864865, 0.37837837837837834, 0.5135135135135135, 0.37837837837837834, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5405405405405406];1.6241133213043213;0.4135135135135135;0.32432432432432434;0.5405405405405406;0.07052966676053993;0.4135135135135135;0.32432432432432434;0.5405405405405406;0.07052966676053994;MultinomialNB;tfidf;stem
MultinomialNB_count_lemma;[0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.5945945945945946, 0.5945945945945946, 0.5945945945945946, 0.6756756756756757];[0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.5945945945945946, 0.5945945945945946, 0.5945945945945946, 0.6756756756756757];0.5947079658508301;0.5540540540540541;0.43243243243243246;0.6756756756756757;0.06424250985948493;0.5540540540540541;0.43243243243243246;0.6756756756756757;0.06424250985948493;MultinomialNB;count;lemma
MultinomialNB_count_stem;[0.5945945945945946, 0.5135135135135135, 0.6756756756756757, 0.5675675675675675, 0.5675675675675675, 0.4864864864864865, 0.6756756756756757, 0.5945945945945946, 0.6216216216216216, 0.6486486486486487];[0.5945945945945946, 0.5135135135135135, 0.6756756756756757, 0.5675675675675675, 0.5675675675675675, 0.4864864864864865, 0.6756756756756757, 0.5945945945945946, 0.6216216216216216, 0.6486486486486487];1.647688865661621;0.5945945945945945;0.4864864864864865;0.6756756756756757;0.06043426966215647;0.5945945945945945;0.4864864864864865;0.6756756756756757;0.06043426966215647;MultinomialNB;count;stem
GaussianNB_tfidf_lemma;[0.4864864864864865, 0.4864864864864865, 0.5135135135135135, 0.5405405405405406, 0.5135135135135135, 0.43243243243243246, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.6216216216216216];[0.4864864864864865, 0.4864864864864865, 0.5135135135135135, 0.5405405405405406, 0.5135135135135135, 0.43243243243243246, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.6216216216216216];0.6752891540527344;0.5162162162162163;0.43243243243243246;0.6216216216216216;0.047509177922289036;0.5162162162162163;0.43243243243243246;0.6216216216216216;0.047509177922289036;GaussianNB;tfidf;lemma
GaussianNB_tfidf_stem;[0.4864864864864865, 0.4864864864864865, 0.4864864864864865, 0.5675675675675675, 0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.4864864864864865, 0.5135135135135135, 0.5675675675675675];[0.4864864864864865, 0.4864864864864865, 0.4864864864864865, 0.5675675675675675, 0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.4864864864864865, 0.5135135135135135, 0.5675675675675675];1.7040414810180664;0.5108108108108108;0.43243243243243246;0.5675675675675675;0.04264792929205268;0.5108108108108108;0.43243243243243246;0.5675675675675675;0.04264792929205268;GaussianNB;tfidf;stem
GaussianNB_count_lemma;[0.4594594594594595, 0.4864864864864865, 0.5405405405405406, 0.5405405405405406, 0.5135135135135135, 0.4594594594594595, 0.5675675675675675, 0.5675675675675675, 0.4594594594594595, 0.6216216216216216];[0.4594594594594595, 0.4864864864864865, 0.5405405405405406, 0.5405405405405406, 0.5135135135135135, 0.4594594594594595, 0.5675675675675675, 0.5675675675675675, 0.4594594594594595, 0.6216216216216216];0.685483455657959;0.5216216216216216;0.4594594594594595;0.6216216216216216;0.052754652151197644;0.5216216216216216;0.4594594594594595;0.6216216216216216;0.052754652151197644;GaussianNB;count;lemma
GaussianNB_count_stem;[0.4594594594594595, 0.4864864864864865, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.43243243243243246, 0.5945945945945946, 0.4864864864864865, 0.4864864864864865, 0.5675675675675675];[0.4594594594594595, 0.4864864864864865, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.43243243243243246, 0.5945945945945946, 0.4864864864864865, 0.4864864864864865, 0.5675675675675675];1.715327262878418;0.5054054054054055;0.43243243243243246;0.5945945945945946;0.04689013938620938;0.5054054054054055;0.43243243243243246;0.5945945945945946;0.04689013938620938;GaussianNB;count;stem
LinearSVC_tfidf_lemma;[0.7837837837837838, 0.5945945945945946, 0.7837837837837838, 0.7027027027027027, 0.6756756756756757, 0.7297297297297297, 0.6216216216216216, 0.5945945945945946, 0.8378378378378378, 0.7297297297297297];[0.7837837837837838, 0.5945945945945946, 0.7837837837837838, 0.7027027027027027, 0.6756756756756757, 0.7297297297297297, 0.6216216216216216, 0.5945945945945946, 0.8378378378378378, 0.7297297297297297];0.6378121376037598;0.7054054054054053;0.5945945945945946;0.8378378378378378;0.07967244850261446;0.7054054054054053;0.5945945945945946;0.8378378378378378;0.07967244850261446;LinearSVC;tfidf;lemma
LinearSVC_tfidf_stem;[0.7567567567567568, 0.5675675675675675, 0.8108108108108109, 0.7297297297297297, 0.6756756756756757, 0.7027027027027027, 0.6486486486486487, 0.6216216216216216, 0.8648648648648649, 0.7297297297297297];[0.7567567567567567, 0.5675675675675675, 0.8108108108108109, 0.7297297297297297, 0.6756756756756757, 0.7027027027027027, 0.6486486486486487, 0.6216216216216216, 0.8648648648648649, 0.7297297297297297];1.6291160583496094;0.7108108108108109;0.5675675675675675;0.8648648648648649;0.0837837837837838;0.7108108108108109;0.5675675675675675;0.8648648648648649;0.0837837837837838;LinearSVC;tfidf;stem
LinearSVC_count_lemma;[0.7027027027027027, 0.4864864864864865, 0.6216216216216216, 0.7027027027027027, 0.6756756756756757, 0.6486486486486487, 0.5135135135135135, 0.5675675675675675, 0.6216216216216216, 0.7837837837837838];[0.7027027027027027, 0.4864864864864865, 0.6216216216216216, 0.7027027027027027, 0.6756756756756757, 0.6486486486486487, 0.5135135135135135, 0.5675675675675675, 0.6216216216216216, 0.7837837837837838];0.6301984786987305;0.6324324324324324;0.4864864864864865;0.7837837837837838;0.08648648648648649;0.6324324324324324;0.4864864864864865;0.7837837837837838;0.08648648648648649;LinearSVC;count;lemma
LinearSVC_count_stem;[0.6756756756756757, 0.5135135135135135, 0.6216216216216216, 0.7297297297297297, 0.6486486486486487, 0.6756756756756757, 0.4864864864864865, 0.4864864864864865, 0.6756756756756757, 0.7837837837837838];[0.6756756756756757, 0.5135135135135135, 0.6216216216216216, 0.7297297297297297, 0.6486486486486487, 0.6756756756756757, 0.4864864864864865, 0.4864864864864865, 0.6756756756756757, 0.7837837837837838];1.6470789909362793;0.6297297297297296;0.4864864864864865;0.7837837837837838;0.09748480430741314;0.6297297297297296;0.4864864864864865;0.7837837837837838;0.09748480430741314;LinearSVC;count;stem
LogisticRegression_tfidf_lemma;[0.6486486486486487, 0.4594594594594595, 0.6486486486486487, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.5945945945945946, 0.4864864864864865, 0.5945945945945946, 0.6486486486486487];[0.6486486486486487, 0.4594594594594595, 0.6486486486486487, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.5945945945945946, 0.4864864864864865, 0.5945945945945946, 0.6486486486486487];1.150911569595337;0.5621621621621621;0.4594594594594595;0.6486486486486487;0.07027027027027027;0.5621621621621621;0.4594594594594595;0.6486486486486487;0.07027027027027027;LogisticRegression;tfidf;lemma
LogisticRegression_tfidf_stem;[0.6486486486486487, 0.5135135135135135, 0.6756756756756757, 0.5135135135135135, 0.6216216216216216, 0.5135135135135135, 0.5675675675675675, 0.4594594594594595, 0.6756756756756757, 0.6216216216216216];[0.6486486486486487, 0.5135135135135135, 0.6756756756756757, 0.5135135135135135, 0.6216216216216216, 0.5135135135135135, 0.5675675675675675, 0.4594594594594595, 0.6756756756756757, 0.6216216216216216];1.9835889339447021;0.5810810810810811;0.4594594594594595;0.6756756756756757;0.07376942737273612;0.5810810810810811;0.4594594594594595;0.6756756756756757;0.07376942737273612;LogisticRegression;tfidf;stem
LogisticRegression_count_lemma;[0.6486486486486487, 0.4864864864864865, 0.6216216216216216, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.5135135135135135, 0.5405405405405406, 0.6216216216216216, 0.7837837837837838];[0.6486486486486487, 0.4864864864864865, 0.6216216216216216, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.5135135135135135, 0.5405405405405406, 0.6216216216216216, 0.7837837837837838];1.255824089050293;0.6324324324324324;0.4864864864864865;0.7837837837837838;0.09061110602292007;0.6324324324324324;0.4864864864864865;0.7837837837837838;0.09061110602292007;LogisticRegression;count;lemma
LogisticRegression_count_stem;[0.6756756756756757, 0.5135135135135135, 0.6486486486486487, 0.7297297297297297, 0.7027027027027027, 0.7027027027027027, 0.5135135135135135, 0.5405405405405406, 0.7297297297297297, 0.8108108108108109];[0.6756756756756757, 0.5135135135135135, 0.6486486486486487, 0.7297297297297297, 0.7027027027027027, 0.7027027027027027, 0.5135135135135135, 0.5405405405405406, 0.7297297297297297, 0.8108108108108109];2.3117728233337402;0.6567567567567567;0.5135135135135135;0.8108108108108109;0.09673259550363937;0.6567567567567567;0.5135135135135135;0.8108108108108109;0.09673259550363937;LogisticRegression;count;stem
MLP_tfidf_lemma;[0.6756756756756757, 0.4594594594594595, 0.7837837837837838, 0.6756756756756757, 0.7027027027027027, 0.6756756756756757, 0.6756756756756757, 0.5405405405405406, 0.6756756756756757, 0.7297297297297297];[0.6756756756756757, 0.4594594594594595, 0.7837837837837838, 0.6756756756756757, 0.7027027027027027, 0.6756756756756757, 0.6756756756756757, 0.5405405405405406, 0.6756756756756757, 0.7297297297297297];12.537112712860107;0.6594594594594595;0.4594594594594595;0.7837837837837838;0.08815949421783832;0.6594594594594595;0.4594594594594595;0.7837837837837838;0.08815949421783832;MLP;tfidf;lemma
MLP_tfidf_stem;[0.7027027027027027, 0.5135135135135135, 0.8108108108108109, 0.6486486486486487, 0.6486486486486487, 0.7297297297297297, 0.6216216216216216, 0.5945945945945946, 0.8108108108108109, 0.6756756756756757];[0.7027027027027027, 0.5135135135135135, 0.8108108108108109, 0.6486486486486487, 0.6486486486486487, 0.7297297297297297, 0.6216216216216216, 0.5945945945945946, 0.8108108108108109, 0.6756756756756757];12.078553199768066;0.6756756756756757;0.5135135135135135;0.8108108108108109;0.0879936248437822;0.6756756756756757;0.5135135135135135;0.8108108108108109;0.0879936248437822;MLP;tfidf;stem
MLP_count_lemma;[0.6756756756756757, 0.43243243243243246, 0.7567567567567568, 0.6756756756756757, 0.6756756756756757, 0.7297297297297297, 0.5945945945945946, 0.5945945945945946, 0.6486486486486487, 0.7027027027027027];[0.6756756756756757, 0.43243243243243246, 0.7567567567567567, 0.6756756756756757, 0.6756756756756757, 0.7297297297297297, 0.5945945945945946, 0.5945945945945946, 0.6486486486486487, 0.7027027027027027];7.9042463302612305;0.6486486486486487;0.43243243243243246;0.7567567567567568;0.08715954322484917;0.6486486486486487;0.43243243243243246;0.7567567567567567;0.08715954322484916;MLP;count;lemma
MLP_count_stem;[0.7567567567567568, 0.4864864864864865, 0.7567567567567568, 0.6216216216216216, 0.7027027027027027, 0.7837837837837838, 0.5405405405405406, 0.5945945945945946, 0.7567567567567568, 0.6486486486486487];[0.7567567567567567, 0.4864864864864865, 0.7567567567567567, 0.6216216216216216, 0.7027027027027027, 0.7837837837837838, 0.5405405405405406, 0.5945945945945946, 0.7567567567567567, 0.6486486486486487];8.093532085418701;0.664864864864865;0.4864864864864865;0.7837837837837838;0.09759713559604209;0.664864864864865;0.4864864864864865;0.7837837837837838;0.09759713559604208;MLP;count;stem
